,ìíâÕå¥,ê^íﬂ,éOâYäCä›,âWéq,ëÂïΩë‰,ì¸ê∂ìc,ç™ï{êÏ,ãûã}í∑ëÚ,ãvó¢ïl,è„ã≠óÖ,ë´ïø,äõã{,êVêÄéq,à¿êjíÀ,âYâÍ,ëÂóYéR,ä‚å¥,â∫ë]â‰,ìÒã{,ëÂàÈ,ïΩíÀ,ñkäùÉPçË,çîè¿äCä›,êŒè„,äôëq,í«ïl,äCÇÃåˆâÄéƒå˚,íJâ„,ìåéRñk,èºìc,èaëÚ,ìåäCëÂäwëO,íﬂä™â∑êÚ,çÅêÏ,ëPçs,ëÂëD,êVêôìc,ãûã}ïxâ™,à…ê®å¥,à§çbêŒìc,å˙ñÿ,çÇç¿èaíJ,Ç¢Ç∏Ç›íÜâõ,è„âiíJ,àÈéq,êŒêÏí¨,ì¸íJ,ëäñÕëÂíÀ,äÛñ]ÉPãu,íﬂÉPïÙ,ï–ëqí¨,ëÂå˚,äCé≈âY,å¥ìññÉ,è¨ìcã}ëäñÕå¥,ê¨ê£,Ç∑Ç∏Ç©ÇØë‰,äõãè,ñkêVâ°ïl,ëÂëqéR,òZãΩìyéË,âHìcãÛç`çëç€ê¸É^Å[É~ÉiÉã,êVêÆîıèÍ,è„ça,å√ï£,ã êÏäwâÄëO,íﬂêÏ,Ç†Ç¥Ç›ñÏ,äÅÇ™íJ,ëΩñÄêÏ,írè„,åäéÁàÓâ◊,âHìcãÛç`çëì‡ê¸É^Å[É~ÉiÉã,ì°ñÏ,ëäñÕåŒ,ê¥ëÍ,çÇîˆ,ëäå¥,ëÂíÀÅEíÈãûëÂäw,è¨ìcã}âiéR,àÓèÈ,òaêÚëΩñÄêÏ,äÏëΩå©,âúëÚ,êŒêÏë‰,ê¬ï®â°íö,ê¬äC,äãêºó’äCåˆâÄ,êºî™â§éq,ñkî™â§éq,çbèBäXìπ,ñkï{íÜ,ã£í¯èÍëO,çëóÃ,è„ñkëÚ,írÉmè„,ê¬éRàÍíöñ⁄,ê‘ç‚,âzíÜìá,ëÂìá,àÍîVç],ïêë†å‹ì˙és,èHêÏ,è∫ìá,êÚëÃàÁäŸ,ê¬î~äXìπ,çëï™éõ,êºïêñˆëÚ,à‰â¨,à¢ç≤ÉPíJ,írë‹,ê‘ìyè¨äwçZëO,êÛëê,ê¬ìu,ç]åÀêÏ,å‰äxéR,ê¬î~,è¨çÏ,î†ç™ÉPçË,êºïêãÖèÍëO,ãvïƒêÏ,èHí√,ìåãvóØïƒ,ëÂêÚäwâÄ,è„î¬ã¥,ê‘âH,îÚíπéR,ê¬à‰,Ç®â‘íÉâÆ,êVéƒñî,âúëΩñÄ,êÏà‰,åRî®,ã‡éq,àÓâ◊éRåˆâÄ,çqãÛåˆâÄ,éuñÿ,í©â‡,ñkåÀìc,êÏå˚,é…êl,ëêâ¡,î™í™,éOãΩ,ìåå·ñÏ,çÇóÌ,ã∑éRés,êVã∑éR,è„ïüâ™,ó^ñÏñ{í¨,âYòa,âYòaî¸âÄ,åÀíÀà¿çs,äóê∂,êVéOãΩ,å·ñÏ,ïêèBí∑ê£,àÍñ{èº,ä}î¶,â‡ÉPä÷,êÏâz,éwêÓ,ëÂã{,ëÂã{åˆâÄ,ÇπÇÒÇ∞ÇÒë‰,ëÂë‹,îíãv,âYéRå˚,å‰â‘î®,à∞ÉPãvï€,âzê∂,ñkç‚åÀ,ñkè„îˆ,è„îˆ,ò@ìc,ä‚íŒ,àÍÉmäÑ,ìÏç˜à‰,ëÂñÏå¥,ñæäo,êXó—åˆâÄ,çÇç‚,â±êÏ,à…ìﬁíÜâõ,îíâ™,ìåïêìÆï®åˆâÄ,ïPã{,êeï@,è¨êÏí¨,ñkçÉëÉ,çÉëÉ,ãväÏ,çKéË,ñÏè„,îgãvóÁ,è¨ëOìc,íjÂŒ,ñæåÀ,ëÂñÉê∂,è„åFíJ,çsìc,â¡ê{,â‘çË,åIã¥,éôã ,èºãv,ê[íJ,êŒå¥,ìåçsìc,êVãΩ,âHê∂,êVå√âÕ,íOëë,ñ{èØ,â™ïî,ñˆê∂,ê_ï€å¥
çÅêÏ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,330.0,506.0,642.0,431.0,399.0,242.0,462.0,565.0,660.0,506.0,594.0,946.0,420.0,473.0,504.0,785.0,682.0,770.0,418.0,462.0,598.0,619.0,682.0,816.0,713.0,793.0,889.0,1076.0,418.0,598.0,493.0,525.0,682.0,713.0,807.0,828.0,839.0,920.0,990.0,990.0,839.0,770.0,594.0,833.0,588.0,724.0,588.0,619.0,807.0,828.0,839.0,1331.0,1141.0,770.0,770.0,986.0,808.0,998.0,787.0,840.0,830.0,923.0,872.0,1039.0,1017.0,1070.0,1166.0,990.0,984.0,1027.0,896.0,896.0,1017.0,955.0,913.0,902.0,1111.0,1017.0,1132.0,1205.0,,1166.0,990.0,990.0,1122.0,1091.0,984.0,1154.0,1144.0,1070.0,965.0,1071.0,1156.0,1132.0,1338.0,1342.0,1342.0,1166.0,1166.0,1185.0,1122.0,1155.0,1134.0,1053.0,965.0,1278.0,1197.0,1239.0,1254.0,1353.0,1311.0,1185.0,1216.0,1238.0,1218.0,1141.0,1428.0,1365.0,1197.0,1342.0,1384.0,1511.0,1458.0,1342.0,903.0,1248.0,1427.0,1218.0,1365.0,1313.0,1313.0,1981.0,1771.0,1531.0,1499.0,1511.0,1458.0,1427.0,1427.0,1427.0,1417.0,1365.0,1417.0,1701.0,1518.0,1584.0,1458.0,1427.0,1574.0,1515.0,1417.0,1417.0,2025.0,903.0,1735.0,1603.0,1543.0,1470.0,2254.0,1974.0,1974.0,1720.0,2221.0,2151.0,2081.0,1735.0,1679.0,1606.0,1606.0,2225.0,1980.0,2087.0,2081.0,1989.0,11000.0,1679.0,1679.0,2225.0,2263.0,2087.0,1679.0,2263.0
ëPçs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,487.0,618.0,462.0,419.0,377.0,189.0,345.0,429.0,487.0,575.0,787.0,367.0,398.0,419.0,555.0,639.0,702.0,576.0,314.0,450.0,408.0,534.0,587.0,628.0,724.0,815.0,1057.0,619.0,450.0,314.0,346.0,471.0,502.0,555.0,628.0,765.0,846.0,996.0,908.0,779.0,758.0,534.0,676.0,462.0,598.0,462.0,462.0,555.0,586.0,765.0,1036.0,894.0,710.0,732.0,829.0,639.0,808.0,661.0,681.0,671.0,713.0,713.0,817.0,869.0,922.0,1068.0,980.0,815.0,870.0,727.0,727.0,869.0,807.0,765.0,744.0,952.0,828.0,976.0,1017.0,,1068.0,980.0,996.0,937.0,905.0,815.0,962.0,986.0,912.0,806.0,933.0,997.0,974.0,1179.0,1354.0,1233.0,1145.0,1084.0,1037.0,969.0,996.0,975.0,905.0,817.0,1122.0,1038.0,1080.0,1095.0,1192.0,1161.0,1031.0,1031.0,1079.0,1070.0,993.0,1297.0,1217.0,1038.0,1183.0,1224.0,1352.0,1299.0,1299.0,744.0,1100.0,1279.0,1070.0,1217.0,1154.0,1154.0,1831.0,1621.0,1381.0,1349.0,1352.0,1299.0,1279.0,1279.0,1279.0,1258.0,1206.0,1258.0,1553.0,1480.0,1425.0,1299.0,1279.0,1426.0,1367.0,1258.0,1258.0,2031.0,744.0,1587.0,1455.0,1384.0,1311.0,2095.0,1815.0,1815.0,1561.0,2073.0,2003.0,1933.0,1587.0,1520.0,1447.0,1447.0,1898.0,1866.0,1939.0,1933.0,1830.0,11157.0,1520.0,1520.0,1986.0,2115.0,1939.0,1520.0,2115.0
ëÂëD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,356.0,692.0,651.0,506.0,409.0,586.0,399.0,220.0,308.0,822.0,587.0,539.0,507.0,524.0,396.0,473.0,682.0,535.0,639.0,629.0,561.0,555.0,465.0,550.0,641.0,790.0,770.0,639.0,535.0,566.0,619.0,580.0,559.0,580.0,591.0,672.0,1185.0,1097.0,968.0,947.0,723.0,906.0,651.0,787.0,651.0,692.0,559.0,580.0,591.0,1104.0,935.0,899.0,921.0,1059.0,871.0,969.0,779.0,737.0,706.0,748.0,748.0,779.0,887.0,905.0,1265.0,1185.0,1047.0,1100.0,959.0,935.0,990.0,947.0,800.0,748.0,977.0,894.0,998.0,1052.0,,1265.0,1185.0,1185.0,1145.0,1052.0,1047.0,1020.0,990.0,916.0,800.0,916.0,1032.0,968.0,1256.0,1573.0,1438.0,1361.0,1273.0,1157.0,1094.0,1031.0,999.0,976.0,888.0,1144.0,1073.0,1115.0,1260.0,1314.0,1282.0,1157.0,1188.0,1114.0,1053.0,976.0,1280.0,1200.0,1073.0,1260.0,1356.0,1387.0,1334.0,1376.0,748.0,1177.0,1262.0,1141.0,1288.0,1189.0,1189.0,1984.0,1774.0,1534.0,1460.0,1387.0,1334.0,1350.0,1262.0,1262.0,1293.0,1354.0,1293.0,1704.0,1576.0,1460.0,1334.0,1350.0,1497.0,1518.0,1406.0,1406.0,2015.0,814.0,1570.0,1694.0,1419.0,1459.0,2100.0,1820.0,1850.0,1596.0,2056.0,1986.0,1916.0,1746.0,1555.0,1482.0,1627.0,1922.0,1890.0,1922.0,1916.0,1865.0,11000.0,1555.0,1555.0,2010.0,2098.0,2098.0,1555.0,2274.0
êVêôìc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,754.0,691.0,660.0,550.0,522.0,367.0,136.0,168.0,796.0,503.0,451.0,419.0,410.0,308.0,396.0,733.0,676.0,561.0,597.0,396.0,440.0,377.0,314.0,480.0,702.0,776.0,649.0,676.0,707.0,535.0,492.0,471.0,492.0,367.0,480.0,1101.0,1058.0,880.0,859.0,814.0,1031.0,792.0,775.0,734.0,734.0,471.0,492.0,430.0,975.0,738.0,935.0,990.0,1031.0,787.0,881.0,691.0,649.0,618.0,660.0,660.0,598.0,764.0,817.0,1177.0,1100.0,935.0,1149.0,913.0,859.0,870.0,838.0,712.0,660.0,796.0,764.0,953.0,953.0,,1177.0,1100.0,1166.0,1068.0,932.0,935.0,932.0,902.0,828.0,712.0,828.0,933.0,817.0,1126.0,1496.0,1375.0,1249.0,1232.0,1103.0,1005.0,943.0,911.0,888.0,822.0,963.0,989.0,1027.0,1079.0,1260.0,1228.0,1068.0,1100.0,1026.0,965.0,888.0,1192.0,1112.0,985.0,1079.0,1300.0,1299.0,1246.0,1288.0,660.0,1089.0,1174.0,1053.0,1200.0,1105.0,1105.0,1938.0,1728.0,1488.0,1406.0,1299.0,1246.0,1262.0,1174.0,1174.0,1274.0,1157.0,1209.0,1616.0,1488.0,1372.0,1246.0,1262.0,1409.0,1262.0,1288.0,1209.0,1938.0,712.0,1482.0,1420.0,1424.0,1365.0,1987.0,1762.0,1754.0,1508.0,2231.0,2201.0,2091.0,1596.0,1497.0,1497.0,1497.0,1834.0,1802.0,1980.0,2131.0,1884.0,11330.0,1574.0,1574.0,1922.0,2310.0,2310.0,1574.0,2310.0
ãûã}ïxâ™,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,713.0,682.0,618.0,544.0,367.0,272.0,304.0,756.0,525.0,473.0,441.0,461.0,399.0,451.0,755.0,724.0,638.0,619.0,462.0,492.0,399.0,367.0,480.0,629.0,798.0,715.0,724.0,755.0,555.0,514.0,493.0,493.0,430.0,542.0,1123.0,1080.0,902.0,881.0,891.0,1053.0,839.0,797.0,748.0,748.0,493.0,514.0,430.0,1037.0,800.0,1009.0,1100.0,1053.0,787.0,903.0,713.0,671.0,640.0,682.0,682.0,660.0,764.0,817.0,1218.0,1128.0,1023.0,1146.0,935.0,881.0,932.0,881.0,734.0,682.0,858.0,764.0,879.0,953.0,,1218.0,1128.0,1172.0,1067.0,994.0,986.0,954.0,924.0,850.0,734.0,850.0,995.0,849.0,1126.0,1548.0,1383.0,1249.0,1273.0,1091.0,1059.0,965.0,933.0,910.0,875.0,1025.0,1007.0,1049.0,1128.0,1290.0,1259.0,1122.0,1130.0,1048.0,987.0,910.0,1214.0,1134.0,1007.0,1141.0,1322.0,1321.0,1268.0,1310.0,682.0,1111.0,1196.0,1075.0,1222.0,1167.0,1123.0,1918.0,1708.0,1468.0,1438.0,1321.0,1268.0,1304.0,1196.0,1196.0,1274.0,1219.0,1271.0,1680.0,1510.0,1394.0,1268.0,1350.0,1431.0,1284.0,1271.0,1271.0,1960.0,712.0,1656.0,1480.0,1372.0,1324.0,2034.0,1754.0,1754.0,1530.0,2142.0,2072.0,2002.0,1656.0,1497.0,1497.0,1497.0,1856.0,1824.0,2008.0,2002.0,1884.0,11466.0,1574.0,1574.0,1944.0,2186.0,2008.0,1574.0,2186.0
à…ê®å¥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,189.0,377.0,543.0,691.0,702.0,691.0,787.0,398.0,451.0,482.0,776.0,691.0,754.0,419.0,283.0,450.0,471.0,534.0,754.0,691.0,776.0,867.0,1016.0,431.0,450.0,314.0,346.0,534.0,565.0,618.0,691.0,817.0,898.0,996.0,908.0,779.0,758.0,534.0,676.0,462.0,598.0,462.0,462.0,618.0,649.0,817.0,1038.0,912.0,710.0,726.0,829.0,639.0,808.0,661.0,681.0,671.0,713.0,713.0,817.0,869.0,922.0,1047.0,959.0,815.0,870.0,727.0,727.0,869.0,807.0,765.0,744.0,955.0,787.0,976.0,1049.0,,1068.0,980.0,990.0,937.0,905.0,815.0,962.0,996.0,922.0,817.0,933.0,997.0,976.0,1179.0,1354.0,1233.0,1145.0,1078.0,1037.0,969.0,996.0,975.0,905.0,817.0,1122.0,1038.0,1080.0,1095.0,1192.0,1161.0,1031.0,1031.0,1079.0,1070.0,993.0,1280.0,1217.0,1038.0,1183.0,1224.0,1352.0,1299.0,1299.0,744.0,1100.0,1279.0,1070.0,1217.0,1154.0,1154.0,1831.0,1621.0,1381.0,1349.0,1352.0,1299.0,1279.0,1279.0,1279.0,1258.0,1206.0,1258.0,1553.0,1480.0,1425.0,1299.0,1279.0,1426.0,1367.0,1258.0,1258.0,1833.0,744.0,1587.0,1455.0,1384.0,1311.0,2095.0,1815.0,1815.0,1561.0,2073.0,2003.0,1933.0,1587.0,1520.0,1447.0,1447.0,1887.0,1855.0,1939.0,1933.0,1830.0,10953.0,1520.0,1520.0,1975.0,2115.0,1939.0,1520.0,2115.0
à§çbêŒìc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,346.0,480.0,649.0,639.0,628.0,745.0,335.0,388.0,419.0,713.0,628.0,691.0,356.0,251.0,419.0,440.0,503.0,723.0,628.0,713.0,804.0,953.0,399.0,419.0,283.0,314.0,503.0,534.0,587.0,660.0,754.0,835.0,965.0,877.0,732.0,711.0,487.0,633.0,419.0,555.0,419.0,419.0,587.0,618.0,754.0,996.0,870.0,663.0,663.0,786.0,639.0,765.0,618.0,639.0,629.0,671.0,671.0,765.0,817.0,870.0,1015.0,927.0,815.0,827.0,727.0,727.0,817.0,755.0,713.0,702.0,911.0,745.0,932.0,1005.0,,1015.0,927.0,927.0,922.0,891.0,815.0,954.0,944.0,870.0,765.0,881.0,955.0,932.0,1137.0,1323.0,1218.0,1141.0,1015.0,985.0,922.0,954.0,933.0,853.0,765.0,1078.0,996.0,1038.0,1053.0,1153.0,1111.0,985.0,1016.0,1037.0,1018.0,941.0,1228.0,1165.0,996.0,1141.0,1184.0,1310.0,1257.0,1247.0,702.0,1048.0,1227.0,1018.0,1165.0,1112.0,1112.0,1781.0,1571.0,1331.0,1299.0,1310.0,1257.0,1227.0,1227.0,1227.0,1216.0,1164.0,1216.0,1501.0,1449.0,1383.0,1257.0,1227.0,1374.0,1315.0,1216.0,1216.0,1781.0,702.0,1535.0,1403.0,1342.0,1269.0,2053.0,1773.0,1773.0,1519.0,2021.0,1951.0,1881.0,1535.0,1478.0,1405.0,1405.0,1845.0,1813.0,1887.0,1881.0,1788.0,10984.0,1478.0,1478.0,1933.0,2063.0,1887.0,1478.0,2063.0
å˙ñÿ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,449.0,618.0,608.0,597.0,704.0,304.0,357.0,388.0,682.0,597.0,660.0,242.0,220.0,387.0,408.0,471.0,691.0,597.0,682.0,773.0,922.0,242.0,387.0,251.0,283.0,471.0,502.0,555.0,628.0,723.0,804.0,858.0,770.0,663.0,594.0,418.0,591.0,377.0,513.0,377.0,377.0,555.0,586.0,723.0,955.0,829.0,594.0,594.0,744.0,566.0,723.0,576.0,598.0,588.0,630.0,630.0,723.0,775.0,828.0,858.0,770.0,742.0,785.0,654.0,654.0,775.0,713.0,671.0,660.0,869.0,704.0,890.0,963.0,,990.0,858.0,858.0,864.0,832.0,742.0,889.0,902.0,828.0,723.0,829.0,914.0,890.0,1096.0,1166.0,1160.0,990.0,990.0,943.0,880.0,913.0,892.0,811.0,723.0,1036.0,955.0,997.0,1012.0,1111.0,1069.0,943.0,958.0,996.0,976.0,899.0,1186.0,1123.0,955.0,1100.0,1142.0,1269.0,1216.0,1166.0,661.0,1006.0,1185.0,976.0,1123.0,1071.0,1071.0,1739.0,1529.0,1289.0,1257.0,1269.0,1216.0,1185.0,1185.0,1185.0,1175.0,1123.0,1175.0,1459.0,1342.0,1342.0,1216.0,1185.0,1332.0,1273.0,1175.0,1175.0,1739.0,661.0,1493.0,1361.0,1301.0,1228.0,1909.0,1732.0,1732.0,1478.0,1979.0,1909.0,1839.0,1493.0,1437.0,1364.0,1364.0,1804.0,1772.0,1845.0,1839.0,1747.0,11000.0,1437.0,1437.0,1892.0,2021.0,1845.0,1437.0,2021.0
çÇç¿èaíJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,429.0,550.0,576.0,704.0,284.0,315.0,356.0,555.0,576.0,639.0,513.0,251.0,387.0,346.0,471.0,587.0,566.0,661.0,752.0,1120.0,556.0,387.0,251.0,283.0,409.0,440.0,493.0,566.0,702.0,783.0,933.0,845.0,716.0,695.0,471.0,591.0,377.0,513.0,377.0,377.0,493.0,524.0,702.0,955.0,832.0,647.0,669.0,744.0,566.0,723.0,576.0,598.0,588.0,630.0,630.0,723.0,775.0,828.0,995.0,907.0,742.0,785.0,654.0,654.0,775.0,713.0,671.0,660.0,869.0,766.0,890.0,893.0,,995.0,907.0,933.0,864.0,832.0,742.0,889.0,902.0,828.0,723.0,829.0,914.0,890.0,1096.0,1281.0,1160.0,1072.0,1021.0,943.0,880.0,913.0,892.0,811.0,723.0,1036.0,955.0,997.0,1012.0,1111.0,1069.0,943.0,958.0,996.0,976.0,899.0,1186.0,1123.0,955.0,1100.0,1142.0,1269.0,1216.0,1205.0,661.0,1006.0,1185.0,976.0,1123.0,1071.0,1071.0,1739.0,1529.0,1289.0,1257.0,1269.0,1216.0,1185.0,1185.0,1185.0,1175.0,1123.0,1175.0,1459.0,1417.0,1342.0,1216.0,1185.0,1332.0,1273.0,1175.0,1175.0,1896.0,661.0,1493.0,1361.0,1301.0,1228.0,2012.0,1732.0,1732.0,1478.0,1979.0,1909.0,1839.0,1493.0,1437.0,1364.0,1364.0,1804.0,1772.0,1845.0,1839.0,1747.0,11220.0,1437.0,1437.0,1892.0,2021.0,1845.0,1437.0,2021.0
Ç¢Ç∏Ç›íÜâõ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,470.0,459.0,816.0,302.0,239.0,239.0,544.0,459.0,522.0,522.0,491.0,627.0,585.0,522.0,574.0,459.0,544.0,635.0,784.0,565.0,627.0,491.0,522.0,637.0,574.0,553.0,574.0,585.0,666.0,1173.0,1085.0,956.0,935.0,653.0,841.0,627.0,763.0,627.0,627.0,553.0,574.0,585.0,1024.0,913.0,887.0,829.0,994.0,805.0,963.0,773.0,731.0,700.0,742.0,742.0,773.0,881.0,899.0,1234.0,1146.0,981.0,1035.0,893.0,893.0,984.0,941.0,794.0,742.0,940.0,816.0,961.0,1077.0,,1234.0,1146.0,1093.0,1103.0,1046.0,981.0,1014.0,984.0,910.0,794.0,910.0,1026.0,961.0,1208.0,1520.0,1399.0,1311.0,1181.0,1151.0,1119.0,1025.0,993.0,970.0,882.0,1107.0,1067.0,1109.0,1124.0,1308.0,1276.0,1182.0,1182.0,1108.0,1047.0,970.0,1296.0,1216.0,1067.0,1212.0,1350.0,1381.0,1328.0,1370.0,742.0,1171.0,1256.0,1135.0,1282.0,1183.0,1183.0,1978.0,1768.0,1528.0,1454.0,1381.0,1328.0,1435.0,1256.0,1256.0,1287.0,1235.0,1287.0,1698.0,1570.0,1454.0,1328.0,1344.0,1491.0,1455.0,1411.0,1287.0,2020.0,773.0,1564.0,1611.0,1413.0,1475.0,2094.0,1814.0,1814.0,1590.0,2050.0,1980.0,1910.0,1743.0,1549.0,1476.0,1621.0,2054.0,1975.0,1916.0,1910.0,1859.0,11397.0,1549.0,1698.0,2096.0,2092.0,2095.0,1698.0,2271.0
è„âiíJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,408.0,818.0,587.0,535.0,503.0,335.0,429.0,492.0,817.0,555.0,555.0,629.0,492.0,367.0,461.0,524.0,627.0,776.0,860.0,643.0,555.0,586.0,430.0,576.0,555.0,576.0,577.0,627.0,1185.0,1142.0,964.0,943.0,775.0,905.0,691.0,827.0,691.0,691.0,555.0,576.0,577.0,1100.0,943.0,951.0,973.0,1058.0,869.0,965.0,775.0,733.0,702.0,744.0,744.0,808.0,883.0,901.0,1298.0,1207.0,1045.0,1099.0,957.0,943.0,986.0,943.0,796.0,744.0,973.0,818.0,994.0,1067.0,,1298.0,1207.0,1237.0,1121.0,1048.0,1048.0,1016.0,986.0,912.0,796.0,912.0,1028.0,997.0,1210.0,1584.0,1459.0,1372.0,1325.0,1153.0,1121.0,1027.0,995.0,972.0,884.0,1140.0,1069.0,1111.0,1126.0,1310.0,1278.0,1184.0,1184.0,1110.0,1049.0,972.0,1276.0,1196.0,1069.0,1214.0,1352.0,1383.0,1330.0,1372.0,744.0,1173.0,1258.0,1137.0,1284.0,1185.0,1185.0,1980.0,1770.0,1530.0,1456.0,1383.0,1330.0,1470.0,1258.0,1258.0,1289.0,1237.0,1289.0,1700.0,1572.0,1456.0,1330.0,1346.0,1493.0,1346.0,1289.0,1413.0,2011.0,775.0,1566.0,1630.0,1434.0,1342.0,2082.0,1816.0,1846.0,1592.0,2052.0,1982.0,1912.0,1806.0,1551.0,1478.0,1566.0,1918.0,1886.0,1918.0,1912.0,1861.0,11572.0,1551.0,1551.0,2006.0,2094.0,2094.0,1551.0,2270.0
àÈéq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,789.0,451.0,399.0,367.0,410.0,220.0,396.0,681.0,650.0,561.0,545.0,396.0,440.0,325.0,410.0,501.0,650.0,724.0,649.0,650.0,681.0,503.0,440.0,419.0,440.0,451.0,532.0,1049.0,1006.0,828.0,807.0,814.0,979.0,765.0,723.0,682.0,682.0,419.0,440.0,451.0,996.0,814.0,935.0,990.0,979.0,784.0,829.0,639.0,597.0,566.0,608.0,608.0,639.0,747.0,765.0,1237.0,1100.0,935.0,1132.0,861.0,807.0,850.0,807.0,660.0,608.0,837.0,682.0,871.0,943.0,,1202.0,1100.0,1137.0,1016.0,912.0,912.0,880.0,850.0,776.0,935.0,776.0,999.0,915.0,1116.0,1441.0,1323.0,1265.0,1342.0,1048.0,974.0,891.0,859.0,836.0,935.0,1004.0,933.0,1107.0,1100.0,1174.0,1142.0,1037.0,1048.0,974.0,913.0,836.0,1140.0,1060.0,1082.0,1265.0,1216.0,1247.0,1194.0,1236.0,608.0,1037.0,1122.0,1001.0,1148.0,1173.0,1173.0,1886.0,1676.0,1394.0,1320.0,1247.0,1194.0,1210.0,1122.0,1122.0,1200.0,1225.0,1278.0,1564.0,1436.0,1320.0,1194.0,1210.0,1357.0,1210.0,1153.0,1278.0,1875.0,639.0,1430.0,1518.0,1279.0,1338.0,1990.0,1710.0,1710.0,1456.0,1916.0,1846.0,1776.0,1694.0,1415.0,1474.0,1342.0,1782.0,1750.0,1782.0,1776.0,1725.0,11330.0,1415.0,1415.0,1870.0,1958.0,1958.0,1415.0,2310.0
